 	 	Ontario Liberal Party/Parti libéral de l'Ontario	Ontario NDP/NPD	PC Party of Ontario/Parti PC de l'Ontario	Green Party of Ontario/Parti Vert de l'Ontario	Libertarian/Libertarien	PC Party of Ontario//Parti PC de l'Ontario	Libertarian/Libertarian	Freedom Party of Ontario/Parti de la Liberté – Ontario	Communist/Communiste	Family Coalition Party of Ontario/Parti de la Coalition des Familles de l'Ontario	Paupers/Pauvres	Green Party of Ontario/Parti Vert de l'Ontario 	Ontario Liberal Party/Parti libéral de l'Ontario 	Libertarian/Libertarien 	PC Party of Ontario/Parti PC de l'Ontario 	Communist/Communiste 	Freedom Party of Ontario/Parti de la Liberté – Ontario 	The People	Independent/Indépendant	Vegan Environmental Party/Parti écologique végan 	Independent/Indépendant 	Freedom Party of Ontario/Parti de la Liberté	Socialist Party of Ontario/Parti Socialiste d'Ontario 	Ontario Moderate Party/Ontario Moderate Party 	Family Coalition Party of Ontario/Parti de la Coalition des Familles de l'Ontario 	E.P.P.	None of the Above Party (NOTA)/Aucune de ces Réponses Party (NOTA) 	PC Party of Ontario	None of the Above Party (NOTA)/Aucune de ces Réponses Party (NOTA)	CCP/PCCC	Trillium Party TPO/Parti Trillium PTO	Green Party Of Ontario/Parti Vert de l'Ontario	Freedom Party Of Ontario/Parti de la Liberté – Ontario	Party for People with Special Needs/Parti pour les gens qui ont des besoins spéciaux	Paupers	Socialist Party of Ontario/Parti Socialiste d'Ontario	 Ontario NDP/NPD	Ontario Moderate Party	Green Party Of Ontario/Parti Vert de l'Ontario 	Northern Ontario Heritage Party	 Northern Ontario Heritage Party	Ontario Provincial Confederation of Regions Party	Vegan Environmental Party/Parti écologique végan	
Freedom Party Of Ontario/Parti de la Liberté – Ontario	
PC Party of Ontario/Parti PC de l'Ontario	Green Party of Ontario	Party for People with Special Needs/Parti pour les gens qui ont des besoins spéciaux 	Independent	
1	Ajax—Pickering	26149	8265	15012	1608	301																																												
2	Algoma—Manitoulin	6504	14172		828	464	4589																																											
3	Ancaster—Dundas—Flamborough—Westdale	23906	8457	18143	2620			418	246																																									
4	Barrie	19915	7975	17667	3018	366																																												
5	Beaches—East York	17102	16671	5955	2313	523			157																																									
6	Bramalea—Gore—Malton	17894	23521	9473	2285																																													
7	Brampton—Springdale	16848	13481	10234	1322					398																																								
8	Brampton West	24815	13096	13262	1502	932			540		788																																							
9	Brant	19346	13992	16041	2095	374			179			61																																						
10	Bruce—Grey—Owen Sound	11559	6789	20423	3768	188			200																																									
11	Burlington	23826	7854	20319	2351	368			253																																									
12	Cambridge	18763	10406	15696	2739	605																																												
13	Carleton—Mississippi Mills	20472	8748	30501	4614																																													
14	Chatham—Kent—Essex		11667										1971	9160	514	14183																																		
15	Davenport		14164										1974	16205	252	2619	174	111	99																															
16	Don Valley-East	19253	4492	9227									1264					287																																
17	Don Valley-West		3569	14082		338			83	153			1286	26215						138	116																													
18	Dufferin—Caledon		5243										7535	13862	540	18030																																		
19	Durham	19816	13094		2326	620										18580																																		
20	Eglinton—Lawrence	22855	3044										1314			14069		265				144																												
21	Elgin—Middlesex—London		11942										2208	9051		20762		798																																
22	Essex		28092										1679	6625		10178																																		
23	Etobicoke-Centre		5696										1254	23632	521	15531			243		148		240																											
24	Etobicoke—Lakeshore		6348										2083	23950	345	17402							298	230	148																									
25	Etobicoke North		7134										671	12150	706	6163		287																																
26	Glengarry—Prescott—Russell		5843										1688	23662	426	15118		264				297																												
27	Guelph	21949	9392			168							10181			11179	236																																	
28	Haldimand—Norfolk		9786										2071	8331	0	22051																																		
29	Haliburton—Kawartha Lakes—Brock		10490	21747									2266	18617																																				
30	Halton		9864		2681									33665	917	27939										354																								
31	Hamilton Centre	8450	18699	5136					331	229			3078																																					
32	Hamilton East—Stoney Creek	12354	19838	7434		676							1734										254																											
33	Hamilton Mountain	14416	22899	8747	2035	375			318																																									
34	Huron—Bruce	14610	10824	18492		323					1328		1642														127																							
35	Kenora—Rainy River	3729	12872	5905	711																																													
36	Kingston and the Islands	20833	14811	10645					241				3561																																					
37	Kitchener Centre	18459	9761	11546	2462	557																																												
38	Kitchener—Conestoga	15896	10059	17390	3319	1041																																												
39	Kitchener—Waterloo	16191	20034	14057	2804	468																																												
40	Lambton—Kent—Middlesex	9297	12157	20609	2103	213			242		560																	552																						
41	Lanark—Frontenac—Lennox and Addington	14957	10207	21966	3266																																													
42	Leeds—Grenville	8500	7219	23201	2054	476																																												
43	London—Fanshawe	7066	17950		1374	386			503											113									8189																					
44	London North Centre	16445	13839		2465				636	114		70				12029																																		
45	London West		22247	16296					1188				2309	13050																																				
46	Markham—Unionville	21517	4205	14241	1509										444																																			
47	Mississauga—Brampton South	19832	6868	11259	1392	1053														371										604																				
48	Mississauga East—Cooksville	20837	6119	10475	1404	781																					239																							
49	Mississauga—Erindale		7745	15375	1196	892					469			25174																706																				
50	Mississauga South	22116	4621	14498	1416	354																								595																				
51	Mississauga—Streetsville	22587	5886	12039		348							1590																	524																				
52	Nepean—Carleton	22011	8662	30778	3639										955																																			
53	Newmarket—Aurora	22942	6092	19510	2167	579																									925	164																		
54	Niagara Falls	7314	24123	16699	1724	560																								498																				
55	Niagara West—Glanbrook	15761	12463	23539		998			278				3028																																					
56	Nickel Belt	6977	19941	3782																													1123																	
57	Nipissing	8381	8055	13085		365														210													1198																	
58	Northumberland-Quinte West	23415	9216	19528																													2283																	
59	Oak Ridges—Markham																																																	
60	Oakville	24729	3973	18895		393																											1902	137																
61	Oshawa	9052	22227	14532																													1785																	
62	Ottawa Centre	27600	10891	9675		832				279																							4135																	
63	Ottawa—Orléans	29945	4909	18473		512																											2041																	
64	Ottawa South	23727	5867	15110		273				141																							2064		244															
65	Ottawa—Vanier	21945	5216	8799		330																											3147																	
66	Ottawa West—Nepean	21328	6673	15540		338																											2807																	
67	Oxford	8742	10560	18949		364																											1984	384																
68	Parkdale—High Park	17875	18400	5782		191																								306			2489	129																
69	Parry Sound—Muskoka	10177	4993	15752																													7484	296																
70	Perth—Wellington	13510	7768	15996		411					789									343													2000	198																
71	Peterborough	24649	9726	15909																395													2285	121		63	131													
72	Pickering—Scarborough East	23128		12623		590																											1548	192				6599												
73	Prince Edward—Hastings	15103	8829	19210		554																											2449																	
74	Renfrew—Nipissing—Pembroke																																																	
75	Richmond Hill	21049	4817	15482		549																											1335						187											
76	St. Catharines	19005	11353	13798		220				98																							1788	170																
77	St. Paul's	30036	5142	12032		413																											2556	176																
78	Sarnia—Lambton	8113	16274	18720											340																		2106																	
79	Sault Ste. Marie	17490	7611	3703		115																											965																	
80	Scarborough—Agincourt	17342	4131	12141															390														912																	
81	Scarborough Centre	19251	7135	7566																													1086																	
82	Scarborough—Guildwood	17498	5915	9688		476																									120		1029	228																
83	Scarborough—Rouge River	16134	12863	11491																										461			569																	
84	Scarborough Southwest	18420	8674	7570		328														192													1492																	
85	Simcoe—Grey	17385	7837	26238																													4198																	
86	Simcoe North	16412	7851	22180																													4031																	
87	Stormont—Dundas—South Glengarry	9287	8374	19457		608																											1047																	
88	Sudbury	13267		4653		242														105																		14247		1211										
89	Thornhill	21837		21752		585																											1231	262				4005												
90	Thunder Bay—Atikokan	15177	8072	3776											546																		964								131									
91	Thunder Bay—Superior North		8144	1985		922								15503																			993									136								
92	Timiskaming—Cochrane	6161	14651	4656																													529								625									
93	Timmins—James Bay	5592	11818	5226																													401										61							
94	Toronto Centre	29799	8083	9495		550				183									82												78		2265	265	200									187						
95	Toronto—Danforth	15908	19165			501				285									80												170		2348											148	122	4303				
96	Trinity—Spadina	26934	17759	8094		729																																						308			4111	265		
97	Vaughan	33545	7105	16654		1277																											1336																	
98	Welland	8997	21281	12947		450																											1874																	
99	Wellington—Halton Hills	14095	6848			1104										22600																	3566	198																
100	Whitby—Oshawa	18488	13662	23985																													2534	326																
101	Willowdale	24294	4697	15422																													1758																	
102	Windsor—Tecumseh	5605	22826	5485		688																											2144																	
103	Windsor West	13976	14998													5260				897													1210																	
104	York Centre	16980	5806	10914																														489						1156										
105	York—Simcoe	16240	8411			417										19012																	2952																	
106	York South—Weston	15719	12147	3672																144													826	250																
107	York West	11867	10007	2778																													418	267															113	
